iter	Passed	Remaining
172	416	1992
173	419	1992
174	421	1989
175	424	1985
176	426	1982
177	428	1977
178	430	1974
179	432	1971
180	436	1973
181	438	1969
182	440	1966
183	442	1964
184	445	1960
185	447	1957
186	449	1953
187	452	1952
188	455	1954
189	457	1951
190	459	1947
191	462	1944
192	464	1941
193	466	1939
194	469	1937
195	471	1934
196	473	1930
197	475	1927
198	478	1924
199	480	1921
200	483	1920
201	485	1919
202	487	1915
203	490	1912
204	491	1907
205	494	1904
206	496	1901
207	499	1901
208	501	1898
209	503	1895
210	506	1892
211	508	1889
212	510	1886
213	512	1883
214	516	1884
215	518	1881
216	520	1878
217	522	1875
218	525	1872
219	527	1869
220	529	1867
221	532	1866
222	534	1862
223	537	1860
224	539	1857
225	541	1854
226	543	1852
227	546	1849
228	549	1848
229	552	1849
230	554	1847
231	556	1843
232	559	1841
233	561	1838
234	564	1837
235	566	1834
236	569	1831
237	571	1829
238	574	1827
239	576	1826
240	580	1827
241	582	1824
242	584	1821
243	586	1818
244	588	1814
245	591	1811
246	593	1808
247	596	1808
248	598	1805
249	600	1802
250	603	1799
251	605	1797
252	607	1794
253	610	1792
254	612	1790
255	615	1787
256	617	1784
257	619	1782
258	622	1779
259	624	1777
260	626	1774
261	629	1773
262	631	1770
263	633	1767
264	636	1764
265	638	1761
266	640	1758
267	643	1756
268	645	1753
269	647	1750
270	649	1747
271	651	1744
272	654	1742
273	656	1739
274	659	1737
275	662	1737
276	664	1735
277	667	1732
278	669	1729
279	671	1726
280	673	1723
281	676	1722
282	678	1719
283	681	1717
284	683	1715
285	685	1712
286	688	1709
287	690	1707
288	693	1705
289	695	1702
290	697	1699
291	699	1696
292	702	1693
293	704	1691
294	707	1689
295	709	1687
296	711	1685
297	714	1682
298	716	1679
299	718	1676
300	720	1673
301	724	1673
302	726	1670
303	728	1668
304	730	1665
305	733	1662
306	735	1659
307	737	1656
308	739	1654
309	742	1652
310	744	1649
311	746	1646
312	749	1644
313	751	1641
314	753	1638
315	756	1637
316	759	1636
317	761	1633
318	764	1631
319	766	1629
320	769	1626
321	772	1626
322	774	1623
323	777	1621
324	779	1619
325	781	1616
326	784	1614
327	788	1614
328	790	1612
329	792	1609
330	795	1607
331	797	1604
332	800	1603
333	803	1601
334	805	1599
335	808	1597
336	810	1594
337	812	1592
338	815	1589
339	817	1586
340	820	1585
341	822	1582
342	824	1580
343	827	1577
344	829	1574
345	831	1572
346	833	1569
347	836	1566
348	838	1564
349	840	1561
350	843	1558
351	845	1556
352	847	1553
353	849	1551
354	853	1550
355	856	1548
356	858	1545
357	860	1543
358	863	1540
359	865	1538
360	868	1537
361	870	1534
362	872	1531
363	875	1529
364	877	1526
365	879	1523
366	881	1521
367	884	1519
368	886	1516
369	889	1513
370	891	1511
371	893	1508
372	896	1506
373	898	1504
374	901	1502
375	903	1500
376	906	1497
377	908	1494
378	910	1492
379	913	1489
380	916	1488
381	918	1486
382	920	1483
383	923	1481
384	925	1478
385	927	1475
386	930	1473
387	932	1470
388	934	1468
389	936	1465
390	939	1462
391	941	1460
392	943	1457
393	946	1455
394	949	1453
395	951	1451
396	953	1448
397	955	1445
398	957	1442
399	960	1440
400	962	1438
401	966	1437
402	968	1435
403	971	1432
404	973	1429
405	975	1427
406	977	1424
407	980	1422
408	983	1420
409	985	1417
410	987	1415
411	990	1413
412	992	1410
413	995	1408
414	998	1406
415	1000	1404
416	1002	1401
417	1004	1399
418	1007	1396
419	1009	1393
420	1012	1392
421	1014	1389
422	1017	1387
423	1019	1384
424	1021	1382
425	1023	1379
426	1026	1377
427	1028	1374
428	1030	1371
429	1033	1369
430	1035	1366
431	1037	1364
432	1039	1361
433	1042	1359
434	1045	1357
435	1047	1354
436	1049	1352
437	1051	1349
438	1054	1347
439	1056	1344
440	1059	1343
441	1063	1342
442	1065	1340
443	1068	1337
444	1070	1335
445	1072	1332
446	1075	1330
447	1078	1328
448	1080	1325
449	1082	1323
450	1084	1320
451	1087	1317
452	1089	1315
453	1092	1313
454	1094	1311
455	1097	1308
456	1099	1306
457	1101	1303
458	1104	1301
459	1106	1298
460	1109	1296
461	1111	1294
462	1114	1292
463	1116	1289
464	1119	1287
465	1121	1285
466	1124	1282
467	1126	1280
468	1128	1277
469	1130	1275
470	1133	1272
471	1135	1270
472	1137	1267
473	1140	1265
474	1142	1263
475	1145	1260
476	1147	1258
477	1150	1255
478	1152	1253
479	1154	1250
480	1157	1249
481	1160	1246
482	1162	1244
483	1165	1242
484	1167	1239
485	1169	1237
486	1172	1235
487	1175	1233
488	1178	1231
489	1180	1229
490	1183	1227
491	1186	1225
492	1189	1223
493	1191	1220
494	1194	1218
495	1196	1215
496	1198	1213
497	1201	1210
498	1204	1208
499	1206	1206
500	1208	1203
501	1211	1201
502	1213	1198
503	1215	1196
504	1217	1193
505	1220	1191
506	1222	1188
507	1225	1186
508	1227	1184
509	1229	1181
510	1232	1179
511	1234	1176
512	1237	1174
513	1239	1172
514	1242	1170
515	1244	1167
516	1246	1164
517	1249	1162
518	1252	1160
519	1254	1158
520	1257	1155
521	1259	1153
522	1261	1150
523	1264	1148
524	1266	1145
525	1269	1144
526	1271	1141
527	1274	1139
528	1276	1136
529	1279	1134
530	1281	1131
531	1283	1129
532	1287	1127
533	1289	1125
534	1292	1123
535	1294	1120
536	1296	1118
537	1299	1115
538	1302	1113
539	1304	1111
540	1306	1108
541	1309	1106
542	1311	1103
543	1313	1101
544	1316	1098
545	1318	1096
546	1320	1093
547	1323	1091
548	1325	1088
549	1327	1086
550	1330	1084
551	1334	1083
552	1336	1080
553	1339	1078
554	1341	1075
555	1343	1073
556	1346	1070
557	1349	1068
558	1351	1066
559	1353	1063
560	1356	1061
561	1358	1058
562	1360	1056
563	1363	1054
564	1366	1051
565	1368	1049
566	1370	1046
567	1373	1044
568	1375	1042
569	1378	1039
570	1381	1037
571	1384	1036
572	1386	1033
573	1389	1030
574	1391	1028
575	1393	1026
576	1396	1023
577	1399	1021
578	1401	1019
579	1403	1016
580	1406	1013
581	1408	1011
582	1410	1008
583	1412	1006
584	1415	1003
585	1417	1001
586	1419	999
587	1422	996
588	1424	993
589	1426	991
590	1429	989
591	1431	986
592	1433	984
593	1436	981
594	1438	979
595	1440	976
596	1443	974
597	1446	972
598	1448	969
599	1450	966
600	1452	964
601	1454	961
602	1457	959
603	1459	956
604	1462	954
605	1464	952
606	1466	949
607	1468	947
608	1471	944
609	1473	942
610	1476	940
611	1479	937
612	1481	935
613	1483	932
614	1485	930
615	1488	927
616	1490	925
617	1493	922
618	1496	921
619	1498	918
620	1501	916
621	1503	913
622	1505	911
623	1508	908
624	1510	906
625	1512	903
626	1514	901
627	1517	898
628	1519	896
629	1521	893
630	1523	891
631	1527	889
632	1529	886
633	1531	884
634	1533	881
635	1535	878
636	1538	876
637	1541	874
638	1543	872
639	1546	869
640	1548	867
641	1550	864
642	1552	862
643	1555	859
644	1558	857
645	1561	855
646	1564	853
647	1567	851
648	1569	849
649	1573	847
650	1576	844
651	1578	842
652	1580	839
653	1582	837
654	1584	834
655	1587	832
656	1589	829
657	1592	827
658	1595	825
659	1597	822
660	1599	820
661	1601	817
662	1604	815
663	1606	812
664	1608	810
665	1610	807
666	1613	805
667	1615	802
668	1617	800
669	1619	797
670	1622	795
671	1624	793
672	1626	790
673	1629	787
674	1631	785
675	1633	783
676	1636	780
677	1639	778
678	1641	775
679	1643	773
680	1647	771
681	1650	769
682	1655	768
683	1658	766
684	1660	763
685	1663	761
686	1666	759
687	1669	757
688	1672	754
689	1674	752
690	1676	749
691	1678	747
692	1681	744
693	1683	742
694	1686	740
695	1688	737
696	1691	735
697	1693	732
698	1695	730
699	1697	727
700	1700	725
701	1704	723
702	1706	721
703	1708	718
704	1711	715
705	1713	713
706	1715	710
707	1718	708
708	1720	706
709	1722	703
710	1725	701
711	1727	698
712	1729	696
713	1731	693
714	1734	691
715	1737	688
716	1739	686
717	1741	683
718	1743	681
719	1750	680
720	1753	678
721	1755	675
722	1757	673
723	1760	671
724	1762	668
725	1765	666
726	1768	664
727	1770	661
728	1773	659
729	1775	656
730	1777	654
731	1780	651
732	1783	649
733	1785	647
734	1787	644
735	1789	642
736	1792	639
737	1794	637
738	1797	634
739	1800	632
740	1802	630
741	1805	627
742	1807	625
743	1809	622
744	1812	620
745	1815	618
746	1817	615
747	1819	613
748	1821	610
749	1824	608
750	1826	605
751	1829	603
752	1831	600
753	1833	598
754	1836	595
755	1838	593
756	1840	590
757	1843	588
758	1845	586
759	1848	583
760	1850	581
761	1852	578
762	1855	576
763	1857	573
764	1859	571
765	1862	569
766	1865	566
767	1867	564
768	1869	561
769	1871	559
770	1873	556
771	1876	554
772	1878	551
773	1881	549
774	1883	546
775	1885	544
776	1887	541
777	1889	539
778	1892	536
779	1894	534
780	1896	531
781	1899	529
782	1901	526
783	1903	524
784	1905	522
785	1908	519
786	1911	517
787	1913	514
788	1916	512
789	1918	509
790	1920	507
791	1922	504
792	1926	502
793	1928	500
794	1930	497
795	1932	495
796	1935	492
797	1937	490
798	1939	487
799	1942	485
800	1944	483
801	1947	480
802	1949	478
803	1951	475
804	1953	473
805	1956	470
806	1959	468
807	1961	466
808	1963	463
809	1965	461
810	1967	458
811	1970	456
812	1972	453
813	1975	451
814	1977	448
815	1980	446
816	1982	444
817	1984	441
818	1986	439
819	1989	436
820	1991	434
821	1993	431
822	1995	429
823	1998	426
824	2000	424
825	2002	421
826	2005	419
827	2009	417
828	2011	414
829	2013	412
830	2016	410
831	2018	407
832	2022	405
833	2024	402
834	2026	400
835	2029	398
836	2031	395
837	2033	393
838	2035	390
839	2039	388
840	2041	385
841	2043	383
842	2046	381
843	2048	378
844	2050	376
845	2053	373
846	2056	371
847	2058	368
848	2060	366
849	2062	364
850	2065	361
851	2067	359
852	2070	356
853	2073	354
854	2075	351
855	2077	349
856	2080	347
857	2082	344
858	2085	342
859	2087	339
860	2089	337
861	2092	334
862	2094	332
863	2096	330
864	2099	327
865	2101	325
866	2105	322
867	2107	320
868	2109	318
869	2112	315
870	2114	313
871	2116	310
872	2119	308
873	2121	305
874	2124	303
875	2126	300
876	2128	298
877	2131	296
878	2134	293
879	2136	291
880	2138	288
881	2141	286
882	2144	284
883	2146	281
884	2150	279
885	2152	276
886	2154	274
887	2157	272
888	2159	269
889	2162	267
890	2164	264
891	2167	262
892	2169	259
893	2171	257
894	2174	255
895	2176	252
896	2179	250
897	2182	247
898	2184	245
899	2187	243
900	2189	240
901	2192	238
902	2194	235
903	2198	233
904	2200	231
905	2203	228
906	2206	226
907	2208	223
908	2211	221
909	2214	218
910	2218	216
911	2220	214
912	2223	211
913	2225	209
914	2228	206
915	2230	204
916	2233	202
917	2236	199
918	2238	197
919	2240	194
920	2243	192
921	2246	190
922	2249	187
923	2251	185
924	2254	182
925	2256	180
926	2258	177
927	2262	175
928	2266	173
929	2268	170
930	2271	168
931	2273	165
932	2277	163
933	2280	161
934	2284	158
935	2286	156
936	2289	153
937	2293	151
938	2295	149
939	2299	146
940	2301	144
941	2304	141
942	2307	139
943	2312	137
944	2314	134
945	2316	132
946	2319	129
947	2321	127
948	2324	124
949	2327	122
950	2330	120
951	2333	117
952	2335	115
953	2337	112
954	2340	110
955	2343	107
956	2346	105
957	2348	102
958	2350	100
959	2353	98
960	2355	95
961	2358	93
962	2361	90
963	2363	88
964	2366	85
965	2368	83
966	2371	80
967	2374	78
968	2376	76
969	2379	73
970	2382	71
971	2384	68
972	2386	66
973	2391	63
974	2393	61
975	2396	58
976	2399	56
977	2401	54
978	2405	51
979	2409	49
980	2411	46
981	2413	44
982	2416	41
983	2418	39
984	2422	36
985	2425	34
986	2428	31
987	2432	29
988	2437	27
989	2441	24
990	2446	22
991	2453	19
992	2460	17
993	2464	14
994	2471	12
995	2477	9
996	2483	7
997	2489	4
998	2493	2
999	2497	0

