iter	RMSE
341	150487703.7
342	150454958.4
343	150416932.2
344	150412231.9
345	150317770.3
346	150308080.8
347	150303009
348	150256050.6
349	150251149.1
350	150241734.2
351	150236933.7
352	150186979.4
353	150112922.1
354	150037379.1
355	149993080.8
356	149987666.6
357	149978622.3
358	149974013.3
359	149969596.3
360	149959741.9
361	149955496.1
362	149951421
363	149947479.7
364	149943595.2
365	149935217.2
366	149817233.8
367	149813487.6
368	149809792.3
369	149802531.3
370	149799026.8
371	149795615.3
372	149788310
373	149781813.3
374	149778544.4
375	149770633.1
376	149767444.1
377	149750092.6
378	149725553.2
379	149664866.3
380	149661771.6
381	149658705.8
382	149655738.8
383	149560861.9
384	149467263.9
385	149464289.6
386	149461440.1
387	149402476.4
388	149372866.9
389	149357525.4
390	149354605.9
391	149346803.2
392	149299477.5
393	149216340.5
394	149213613.6
395	149206287
396	149141829.4
397	149112126.6
398	149109427
399	149062075.6
400	148982866.7
401	148980262.8
402	148882319.8
403	148830059
404	148827399.1
405	148745171.2
406	148728534.6
407	148726017
408	148712226.4
409	148709768.6
410	148649868.8
411	148644506.3
412	148638859.3
413	148605592.7
414	148542864.3
415	148505173.6
416	148451846.3
417	148449354.5
418	148437748.6
419	148433248.2
420	148361034.7
421	148307571.1
422	148252863
423	148205856.2
424	148135962.8
425	147995793.2
426	147860097.8
427	147821995.1
428	147745198.4
429	147738497.7
430	147736244.6
431	147676202.5
432	147651064.8
433	147593707.4
434	147587211.1
435	147567925.1
436	147466106.7
437	147428376.5
438	147411705.8
439	147408862.6
440	147372134.8
441	147328462.6
442	147323043.3
443	147319068.1
444	147313810.5
445	147258775.1
446	147253615.7
447	147214785.8
448	147167498.6
449	147138992.1
450	147084195
451	147070013.1
452	147067737.2
453	146975307.1
454	146930461.1
455	146914720.1
456	146822232.3
457	146785742.5
458	146731149.7
459	146726176.4
460	146722938.4
461	146709820.3
462	146666635.9
463	146657852.2
464	146644691.4
465	146639569
466	146548830.2
467	146518979.9
468	146470074.8
469	146383227.1
470	146379694.7
471	146363255.7
472	146305547.7
473	146228392
474	146139486.9
475	146136780.3
476	146065828
477	146007871.7
478	145947877
479	145882610.3
480	145879359.7
481	145816941.4
482	145750842.2
483	145748370
484	145741016.6
485	145731899.1
486	145668607.2
487	145662827.8
488	145620355.6
489	145547685.2
490	145429337.7
491	145366811.3
492	145360062.7
493	145356707.4
494	145285998.3
495	145282525.1
496	145280224.1
497	145163771.8
498	145159963.5
499	145055967.4
500	145006395.5
501	145004340
502	144917641.6
503	144915173.1
504	144913096.4
505	144835029.8
506	144832944.3
507	144817301.7
508	144803306.3
509	144714423.3
510	144655584.9
511	144642775.4
512	144574680.5
513	144536167.7
514	144534258.6
515	144531095.9
516	144500380
517	144452597.1
518	144407981.3
519	144406148.1
520	144361563.4
521	144278824.9
522	144224036.3
523	144222205.5
524	144206886.2
525	144188534.5
526	144132421.2
527	144069598.9
528	144025346.9
529	143961394.7
530	143913373.4
531	143856228.3
532	143805010.5
533	143725792.5
534	143715759.7
535	143684540.1
536	143682704.1
537	143632470.4
538	143554188.8
539	143526870.2
540	143452413.9
541	143360967
542	143303662.8
543	143277752.3
544	143266041.4
545	143243922
546	143168490.1
547	143148031
548	143116863.3
549	143043242.1
550	143041413.4
551	143011938.1
552	142966764.8
553	142932918.8
554	142917178.6
555	142915384
556	142898698
557	142838467.4
558	142762762.6
559	142680702.6
560	142678983.3
561	142649525.3
562	142607394.9
563	142549361.4
564	142533493.6
565	142482646.5
566	142437320
567	142397450.4
568	142309755.2
569	142298184.3
570	142268011.5
571	142240765.3
572	142229296
573	142227639
574	142208431.8
575	142206736.8
576	142161972.4
577	142103460.7
578	142101848.9
579	142100203
580	142047181.9
581	141964552.3
582	141962941.8
583	141908906.4
584	141847157.6
585	141843384.2
586	141811033.9
587	141809449.6
588	141768427.6
589	141729627.2
590	141689915.6
591	141657657.4
592	141612328
593	141552329.4
594	141550678.8
595	141505855.3
596	141504329
597	141453369.6
598	141451837.3
599	141416442.6
600	141414584.1
601	141322102.2
602	141275638.3
603	141255121.6
604	141219499.6
605	141176213.5
606	141132553.4
607	141099973.8
608	141092499.6
609	141047022.8
610	141037310.8
611	141026587
612	141017263.9
613	140938200.3
614	140930486.1
615	140857673.3
616	140849168
617	140829600
618	140805027.8
619	140745027.1
620	140717562.6
621	140650252.5
622	140645706.8
623	140570693.4
624	140567323.2
625	140560854.4
626	140541285.5
627	140525961.7
628	140518043.6
629	140516218
630	140504306.7
631	140501609.3
632	140469508
633	140430836.1
634	140429274.8
635	140427824.9
636	140404577.2
637	140350491.3
638	140309429.1
639	140260513.6
640	140189833.5
641	140188540.1
642	140176551.6
643	140175082
644	140107171.1
645	140047827.5
646	139986174.4
647	139955789.1
648	139937081.2
649	139925681.4
650	139914298.5
651	139841084.4
652	139839348.2
653	139801589.4
654	139716134.8
655	139711003
656	139709482.7
657	139670727.5
658	139664044.4
659	139565952.3
660	139508927.5
661	139486690.1
662	139447636.2
663	139361984.6
664	139345437.6
665	139334125
666	139326729
667	139303626.3
668	139302354.6
669	139244471.3
670	139238755.1
671	139179150.6
672	139165919.5
673	139120993.1
674	139085755.2
675	139054138.9
676	138968162
677	138966970.2
678	138918266.8
679	138916632.9
680	138863265.6
681	138817726.5
682	138724669.6
683	138723440.6
684	138714928.6
685	138679822.4
686	138678629.5
687	138647269.2
688	138603975.9
689	138570991.1
690	138556261.8
691	138554930.7
692	138538182.1
693	138486684
694	138461724.9
695	138419066.4
696	138369638.7
697	138340921.7
698	138339793.2
699	138338647.9
700	138291554.5
701	138290420.5
702	138265546.8
703	138201815.3
704	138135178.8
705	138062972.2
706	138020006.1
707	137956606.4
708	137918174
709	137871658.6
710	137816369.7
711	137762980.1
712	137761942.9
713	137705520.2
714	137652975
715	137630480.2
716	137614698.1
717	137613152.9
718	137567140.7
719	137521907.2
720	137514427.9
721	137464786.5
722	137453877.9
723	137422676.7
724	137410315.4
725	137369043.7
726	137327550.1
727	137320403.3
728	137310597.7
729	137287742.5
730	137246212.8
731	137222642.2
732	137179114
733	137110772.7
734	137062835.1
735	137046040.8
736	137010552.1
737	137009485.7
738	136960341.3
739	136956852.1
740	136945802.6
741	136938974.7
742	136882765.4
743	136869906.2
744	136865010.2
745	136863955
746	136852312
747	136846899.6
748	136822712.2
749	136777087.7
750	136730760.9
751	136705083.1
752	136665431
753	136652072.3
754	136645887.1
755	136637295.4
756	136636266.6
757	136574087.8
758	136530805.4
759	136529628.8
760	136528412.8
761	136503105.9
762	136494990.3
763	136494037.7
764	136490757.6
765	136474698.5
766	136468710
767	136444453.8
768	136438871
769	136367041.8
770	136323346.2
771	136306377.5
772	136286926.7
773	136264435.2
774	136258473.7
775	136203202.3
776	136177528.1
777	136141033.3
778	136104669.5
779	136101015.1
780	136047169.8
781	136043027.5
782	136028033.2
783	136012367.7
784	135978415.5
785	135929709.8
786	135928831.9
787	135922445.7
788	135863692.3
789	135857928.3
790	135856810.4
791	135851793.9
792	135823852.3
793	135823024.4
794	135780472.8
795	135713543.7
796	135661606.6
797	135656725
798	135620324
799	135525131.1
800	135494625.9
801	135463808.9
802	135462714.2
803	135436351.5
804	135431061.8
805	135347579.3
806	135311690.6
807	135248914.3
808	135247900.6
809	135234344.7
810	135222982.6
811	135217526.6
812	135208408.1
813	135178047.8
814	135161659.9
815	135127019.9
816	135109344
817	135098149.2
818	135053314.3
819	135038283.5
820	135023137.3
821	134986599.6
822	134972016.1
823	134930248.3
824	134889684.7
825	134836104.1
826	134812058.7
827	134797142.1
828	134746082.6
829	134709885.1
830	134683158.3
831	134656159.1
832	134609631
833	134575340.8
834	134533541.2
835	134502901.2
836	134471760.8
837	134460608.8
838	134456916.2
839	134454486.9
840	134453663.6
841	134415291.5
842	134414348.7
843	134405818.6
844	134405028
845	134404190
846	134365467.2
847	134344838.9
848	134330310.7
849	134308590.9
850	134271994.8
851	134216120.8
852	134184880.7
853	134177247.5
854	134141081.2
855	134136471.5
856	134082979.1
857	134053479.1
858	133962145.8
859	133927142.6
860	133873150.9
861	133853812.4
862	133833590.3
863	133807133.5
864	133777634.5
865	133776894.2
866	133755247.3
867	133703720.5
868	133622066.2
869	133532570.7
870	133517009.3
871	133516285
872	133488597
873	133446852.1
874	133446147.9
875	133425707.3
876	133420281.7
877	133407019.6
878	133377877.3
879	133350168.1
880	133343539.5
881	133324741
882	133292501.7
883	133288100.6
884	133286613.6
885	133265644.2
886	133256037.7
887	133255355.7
888	133244860.3
889	133238761.7
890	133193523.6
891	133192733.4
892	133176889.7
893	133142744.8
894	133141965.3
895	133100171.2
896	133068895.6
897	133068233.5
898	133062451
899	133034902.4
900	133022252.9
901	132998463.4
902	132994340.5
903	132978180.6
904	132960037.7
905	132952118.9
906	132945789.7
907	132931491.8
908	132930838.6
909	132879916.8
910	132822238.2
911	132771529
912	132764927.4
913	132764175.7
914	132726075.1
915	132704662.2
916	132653850.8
917	132599944.4
918	132599214.8
919	132574563.9
920	132572364.3
921	132571763.6
922	132531478.4
923	132486304.8
924	132447920.8
925	132402970.7
926	132396563.8
927	132353137
928	132346977.6
929	132325703.4
930	132316274.5
931	132302785.4
932	132295079.9
933	132275435.9
934	132216793.6
935	132212984.4
936	132187110.6
937	132183324.5
938	132150527.7
939	132139416.5
940	132138837.1
941	132120925.4
942	132120337.5
943	132118469.7
944	132103323.6
945	132097661.5
946	132086236.5
947	132020106.5
948	132014230.1
949	132009333.5
950	132005767
951	132002087.6
952	131979029.6
953	131964477.4
954	131948077.5
955	131931383.8
956	131907158
957	131906515.3
958	131880862
959	131861082.3
960	131855722
961	131800231.8
962	131795657.8
963	131779258
964	131726712.6
965	131690473.7
966	131659163.5
967	131651411.2
968	131637405.8
969	131632041.7
970	131585379.9
971	131556951.7
972	131550022.7
973	131524449.4
974	131485191.7
975	131434448.4
976	131395165.3
977	131375744.3
978	131323437.1
979	131312456.3
980	131278502.9
981	131262136.6
982	131226081.4
983	131202130.9
984	131162995.2
985	131148171.8
986	131140924.2
987	131140204.7
988	131134774.3
989	131080808.6
990	131042901
991	130962768.7
992	130955974
993	130931545.2
994	130893383.3
995	130873372.9
996	130839186.2
997	130801275.8
998	130734216.3
999	130682017.1
